NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
5131,ABW,Abbey Wood,London,Bexley (London),547374,179035,Southeastern,2988802
3813,ABE,Aber,Wales - Cymru,Caerffili - Caerphilly,314870,186950,Arriva Trains Wales,227270
3801,ACY,Abercynon,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",308278,194824,Arriva Trains Wales,293638
3982,ABA,Aberdare,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",300400,202800,Arriva Trains Wales,569364
8976,ABD,Aberdeen,Scotland,Aberdeen City,394127,805872,ScotRail,3058268
9090,AUR,Aberdour,Scotland,Fife,319100,685400,ScotRail,125208
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,260600,296000,Arriva Trains Wales,35960
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,240400,336100,Arriva Trains Wales,2140
3602,AGV,Abergavenny,Wales - Cymru,Sir Fynwy - Monmouthshire,330500,213600,Arriva Trains Wales,425830
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,294612,378681,Arriva Trains Wales,68632
4303,AYW,Aberystwyth,Wales - Cymru,Sir Ceredigion - Ceredigion,258500,281600,Arriva Trains Wales,327334
2552,ACR,Accrington,North West,Hyndburn,375730,428575,Northern,460472
8600,AAT,Achanalt,Scotland,Highland,226020,861473,ScotRail,424
8601,ACN,Achnasheen,Scotland,Highland,216403,858519,ScotRail,3076
8602,ACH,Achnashellach,Scotland,Highland,200290,848440,ScotRail,878
7662,ACK,Acklington,North East,Northumberland,422200,601500,Northern,204
7286,ACL,Acle,East,Broadland,639900,310000,Greater Anglia,47714
4529,ACG,Acocks Green,West Midlands,Birmingham,412400,283500,London Midland Trains,468256
2287,ACB,Acton Bridge,North West,Cheshire West and Chester,359870,374560,London Midland Trains,20092
1404,ACC,Acton Central,London,Ealing (London),520645,180295,London Overground,1931864
3000,AML,Acton Main Line,London,Ealing (London),520360,181230,Great Western Railway,238536
1036,ADD,Adderley Park,West Midlands,Birmingham,409880,287250,London Midland Trains,82404
9310,ADW,Addiewell,Scotland,West Lothian,299500,662300,ScotRail,20502
5550,ASN,Addlestone,South East,Runnymede,505587,164866,South West Trains,429204
5160,ADM,Adisham,South East,Canterbury,623391,153976,Southeastern,21218
2939,ADC,Adlington (Cheshire),North West,Cheshire East,391200,380300,Northern,30316
